Abbreviation,VARIABLE,International_Destination,Year,Value
PER,ESP,Spain,2011,84128
PER,ESP,Spain,2012,79444
PER,ESP,Spain,2013,75341
PER,ESP,Spain,2014,73666
PER,ESP,Spain,2015,79925
PER,ESP,Spain,2016,109017
PER,ESP,Spain,2017,143305
PER,ESP,Spain,2018,160072
PER,ESP,Spain,2019,184000
PER,ESP,Spain,2020,41720
PER,ESP,Spain,2021,69998
PER,USA,United States,2008,197240
PER,USA,United States,2009,189294
PER,USA,United States,2010,202193
PER,USA,United States,2011,195942
PER,USA,United States,2012,197570
PER,USA,United States,2013,222513
PER,USA,United States,2014,258614
PER,USA,United States,2015,289453
PER,USA,United States,2016,304906
PER,USA,United States,2017,292366
PER,USA,United States,2018,294467
PER,USA,United States,2019,324799
PER,USA,United States,2020,89016
PER,USA,United States,2021,268613
ROU,AUT,Austria,2008,41406
ROU,AUT,Austria,2009,20283
ROU,AUT,Austria,2012,100734
ROU,BGR,Bulgaria,2008,77098
ROU,BGR,Bulgaria,2009,62637
ROU,BGR,Bulgaria,2010,52018
ROU,BGR,Bulgaria,2011,134949
ROU,BGR,Bulgaria,2012,138645
ROU,BGR,Bulgaria,2013,101026
ROU,BGR,Bulgaria,2014,85523
ROU,BGR,Bulgaria,2015,110558
ROU,BGR,Bulgaria,2016,132515
ROU,BGR,Bulgaria,2017,139183
ROU,BGR,Bulgaria,2018,163568
ROU,BGR,Bulgaria,2019,208835
ROU,BGR,Bulgaria,2020,105599
ROU,BGR,Bulgaria,2021,194298
ROU,GRC,Greece,2008,109052
ROU,GRC,Greece,2009,72939
ROU,GRC,Greece,2010,40395
ROU,GRC,Greece,2011,121246
ROU,GRC,Greece,2012,146856
ROU,GRC,Greece,2013,98403
ROU,GRC,Greece,2014,105752
ROU,GRC,Greece,2015,136812
ROU,GRC,Greece,2016,136469
ROU,GRC,Greece,2017,162545
ROU,GRC,Greece,2018,161260
ROU,GRC,Greece,2019,130125
ROU,GRC,Greece,2020,46211
ROU,GRC,Greece,2021,75026
ROU,ITA,Italy,2011,33728
ROU,ITA,Italy,2013,44735
ROU,ITA,Italy,2014,37370
ROU,ITA,Italy,2015,47117
ROU,ITA,Italy,2016,52384
ROU,ITA,Italy,2017,52369
ROU,ITA,Italy,2018,68745
ROU,ITA,Italy,2019,43665
ROU,ITA,Italy,2021,12695
ROU,ESP,Spain,2008,48967
ROU,ESP,Spain,2009,25646
ROU,ESP,Spain,2010,21293
ROU,ESP,Spain,2011,56465
ROU,ESP,Spain,2012,121586
ROU,ESP,Spain,2013,52829
ROU,ESP,Spain,2014,55576
ROU,ESP,Spain,2015,59735
ROU,ESP,Spain,2016,64775
ROU,ESP,Spain,2017,56347
ROU,ESP,Spain,2018,71204
ROU,TUR,T¨¹rkiye,2008,148003
ROU,TUR,T¨¹rkiye,2009,101339
ROU,TUR,T¨¹rkiye,2010,76078
ROU,TUR,T¨¹rkiye,2011,185040
ROU,TUR,T¨¹rkiye,2012,196952
ROU,TUR,T¨¹rkiye,2013,117206
ROU,TUR,T¨¹rkiye,2014,105470
ROU,TUR,T¨¹rkiye,2015,98627
ROU,TUR,T¨¹rkiye,2016,102580
ROU,TUR,T¨¹rkiye,2017,139815
ROU,TUR,T¨¹rkiye,2018,196640
ROU,TUR,T¨¹rkiye,2019,315355
ROU,TUR,T¨¹rkiye,2020,67754
ROU,TUR,T¨¹rkiye,2021,193113
ROU,EGY,Egypt,2010,31278
ROU,EGY,Egypt,2019,43143
ROU,EGY,Egypt,2020,15761
ROU,EGY,Egypt,2021,147563
GRC,CYP,Cyprus,2008,140466
GRC,CYP,Cyprus,2009,153259
GRC,CYP,Cyprus,2010,149894
GRC,CYP,Cyprus,2011,183646
GRC,CYP,Cyprus,2012,205486
GRC,CYP,Cyprus,2013,159520
GRC,CYP,Cyprus,2014,167733
GRC,CYP,Cyprus,2015,164091
GRC,CYP,Cyprus,2016,196619
GRC,CYP,Cyprus,2017,214454
GRC,CYP,Cyprus,2018,255392
GRC,CYP,Cyprus,2019,238981.937
GRC,CYP,Cyprus,2020,133890.598
GRC,CYP,Cyprus,2021,171052.516
PER,COL,Colombia,2008,52373
PER,COL,Colombia,2009,63837
PER,COL,Colombia,2010,60094
PER,COL,Colombia,2011,55970
PER,COL,Colombia,2012,61627
PER,COL,Colombia,2013,69845
PER,COL,Colombia,2014,92600
PER,COL,Colombia,2015,119957
PER,COL,Colombia,2016,123496
PER,COL,Colombia,2017,117002
PER,COL,Colombia,2018,135038
PER,COL,Colombia,2019,177406
PER,COL,Colombia,2020,43877
PER,COL,Colombia,2021,38244
TUR,BGR,Bulgaria,2008,853098.127
TUR,BGR,Bulgaria,2009,869925.319
TUR,BGR,Bulgaria,2010,1074053.025
TUR,BGR,Bulgaria,2011,816599.986
TUR,BGR,Bulgaria,2012,733227.637
TUR,BGR,Bulgaria,2013,816876.833
TUR,BGR,Bulgaria,2014,730833.618
TUR,BGR,Bulgaria,2015,782344.491
TUR,BGR,Bulgaria,2016,938809.814
TUR,BGR,Bulgaria,2017,948794.732
TUR,BGR,Bulgaria,2018,986817
TUR,BGR,Bulgaria,2019,1253047.391
TUR,BGR,Bulgaria,2021,402743.463
TUR,GEO,Georgia,2008,229488.112
TUR,GEO,Georgia,2009,195192.165
TUR,GEO,Georgia,2010,451467.774
TUR,GEO,Georgia,2011,434968.713
TUR,GEO,Georgia,2012,585748.039
TUR,GEO,Georgia,2013,1176307.418
TUR,GEO,Georgia,2014,1255967.981
TUR,GEO,Georgia,2015,1163978.187
TUR,GEO,Georgia,2016,1187078.381
TUR,GEO,Georgia,2017,1015857.57
TUR,GEO,Georgia,2018,777781
TUR,GEO,Georgia,2019,1015135.428
TUR,GEO,Georgia,2021,275098.745
TUR,GRC,Greece,2008,289748.662
TUR,GRC,Greece,2009,307393.426
TUR,GRC,Greece,2010,455337.851
TUR,GRC,Greece,2011,389690.857
TUR,GRC,Greece,2012,497896.992
TUR,GRC,Greece,2013,696593.865
TUR,GRC,Greece,2014,911658.754
TUR,GRC,Greece,2015,1017649.104
TUR,GRC,Greece,2016,883490.602
TUR,GRC,Greece,2017,1058492.948
TUR,GRC,Greece,2018,883847
TUR,GRC,Greece,2019,918110.049
TUR,GRC,Greece,2021,86815.306
TUR,IRQ,Iraq,2008,6543.365
TUR,IRQ,Iraq,2009,91772.261
TUR,IRQ,Iraq,2010,64339.253
TUR,IRQ,Iraq,2011,40346.9
TUR,IRQ,Iraq,2012,27933.162
TUR,IRQ,Iraq,2013,1340560.339
TUR,IRQ,Iraq,2014,1214407.116
TUR,IRQ,Iraq,2015,1400610.208
TUR,IRQ,Iraq,2016,56541.646
TUR,IRQ,Iraq,2017,580662.917
TUR,IRQ,Iraq,2018,1013871
TUR,IRQ,Iraq,2019,1046235.722
TUR,IRQ,Iraq,2021,452685.939
AUT,HUN,Hungary,2008,406240.146
AUT,HUN,Hungary,2009,432595.441
AUT,HUN,Hungary,2010,403709.991
AUT,HUN,Hungary,2011,300841.193
AUT,HUN,Hungary,2012,404967.205
AUT,HUN,Hungary,2013,335282
AUT,HUN,Hungary,2014,330522
AUT,HUN,Hungary,2015,345434
AUT,HUN,Hungary,2016,335356
AUT,HUN,Hungary,2017,402896
AUT,HUN,Hungary,2018,362570
BRA,CHL,Chile,2008,252973
BRA,CHL,Chile,2009,209485
BRA,CHL,Chile,2010,229337
BRA,CHL,Chile,2011,324594
BRA,CHL,Chile,2012,373840
BRA,CHL,Chile,2013,362162
BRA,CHL,Chile,2014,407740
BRA,CHL,Chile,2015,455965
BRA,CHL,Chile,2016,438915
BRA,CHL,Chile,2017,544857
BRA,CHL,Chile,2018,589172
BRA,ITA,Italy,2008,252193
