Abbreviation,Variable,Year,Value
DEU,Overnight visitors (tourists),2011,113476253
DEU,Overnight visitors (tourists),2012,116701525
DEU,Overnight visitors (tourists),2013,117987824
DEU,Overnight visitors (tourists),2014,122068364
DEU,Overnight visitors (tourists),2015,126062735
DEU,Overnight visitors (tourists),2016,130218849
DEU,Overnight visitors (tourists),2017,135004792
DEU,Overnight visitors (tourists),2018,140494471
DEU,Overnight visitors (tourists),2019,151381156
DEU,Overnight visitors (tourists),2020,85696063
DEU,Overnight visitors (tourists),2021,85145974
DEU,Overnight visitors (tourists),2012,164795239
DEU,Overnight visitors (tourists),2013,161123466
DEU,Overnight visitors (tourists),2014,153901939
DEU,Overnight visitors (tourists),2015,164138592
DEU,Overnight visitors (tourists),2016,164682477
DEU,Overnight visitors (tourists),2017,151175053
DEU,Overnight visitors (tourists),2018,159337584
DEU,Overnight visitors (tourists),2019,160984920
DEU,Overnight visitors (tourists),2020,109295843
DEU,Same-day visitors (excursionists),2018,567390772
GRC,Overnight visitors (tourists),2012,6981504.44
GRC,Overnight visitors (tourists),2013,7365859
GRC,Overnight visitors (tourists),2014,7414809
GRC,Overnight visitors (tourists),2015,7665265
GRC,Overnight visitors (tourists),2016,8080042
GRC,Overnight visitors (tourists),2017,8142571
GRC,Overnight visitors (tourists),2018,9264746
GRC,Overnight visitors (tourists),2019,9163557
GRC,Overnight visitors (tourists),2020,4617211
GRC,Overnight visitors (tourists),2021,5652556
GRC,Overnight visitors (tourists),2012,6506654
GRC,Overnight visitors (tourists),2013,4913730
GRC,Overnight visitors (tourists),2014,5621981
GRC,Overnight visitors (tourists),2015,5111088
GRC,Overnight visitors (tourists),2016,4872798
GRC,Overnight visitors (tourists),2017,5492230
GRC,Overnight visitors (tourists),2018,5690627
GRC,Overnight visitors (tourists),2019,5180097
GRC,Overnight visitors (tourists),2020,4447734
GRC,Overnight visitors (tourists),2021,4830693
HUN,Overnight visitors (tourists),2012,4644511
HUN,Overnight visitors (tourists),2013,4944848
HUN,Overnight visitors (tourists),2014,5515165
HUN,Overnight visitors (tourists),2015,5984739
HUN,Overnight visitors (tourists),2016,6346301
HUN,Overnight visitors (tourists),2017,6809296
HUN,Overnight visitors (tourists),2018,7170933
HUN,Overnight visitors (tourists),2019,7285711
HUN,Overnight visitors (tourists),2020,4264303
HUN,Overnight visitors (tourists),2021,4697535
HUN,Overnight visitors (tourists),2011,18798209
HUN,Overnight visitors (tourists),2012,17117953
HUN,Overnight visitors (tourists),2013,14376867
HUN,Overnight visitors (tourists),2014,14853710
HUN,Overnight visitors (tourists),2015,15253453
HUN,Overnight visitors (tourists),2016,14424693
HUN,Overnight visitors (tourists),2017,14373820
HUN,Overnight visitors (tourists),2018,14385927
HUN,Overnight visitors (tourists),2019,14248837
HUN,Overnight visitors (tourists),2020,8919064
HUN,Overnight visitors (tourists),2021,10182718
ISL,Overnight visitors (tourists),2011,508362
ISL,Overnight visitors (tourists),2012,524660
ISL,Overnight visitors (tourists),2013,637822
ISL,Overnight visitors (tourists),2014,699733
ISL,Overnight visitors (tourists),2015,587330
ISL,Overnight visitors (tourists),2016,646790
ISL,Overnight visitors (tourists),2017,685616
ISL,Overnight visitors (tourists),2018,700617
ISL,Overnight visitors (tourists),2019,698716
ISL,Overnight visitors (tourists),2020,890385
ISL,Overnight visitors (tourists),2021,1190713
IRL,Overnight visitors (tourists),2011,7169000
IRL,Overnight visitors (tourists),2012,8291000
IRL,Overnight visitors (tourists),2013,8413000
IRL,Overnight visitors (tourists),2014,8991000
IRL,Overnight visitors (tourists),2015,9125000
IRL,Overnight visitors (tourists),2016,9359000
IRL,Overnight visitors (tourists),2017,9626000
IRL,Overnight visitors (tourists),2018,10919000
IRL,Overnight visitors (tourists),2019,11621000
IRL,Overnight visitors (tourists),2020,7721000
IRL,Overnight visitors (tourists),2021,5663000
ITA,Overnight visitors (tourists),2011,56263060
ITA,Overnight visitors (tourists),2012,54994582
ITA,Overnight visitors (tourists),2013,53599294
ITA,Overnight visitors (tourists),2014,54916852
ITA,Overnight visitors (tourists),2015,58352886
ITA,Overnight visitors (tourists),2016,60180004
